hole_1,hole_2,hole_3,hole_4,hole_5,hole_6,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12,hole_13,hole_14,hole_15,hole_16,hole_17,hole_18,title
5.0,4.0,6.0,5.0,3.0,5.0,3.0,5.0,8.0,5.0,5.0,4.0,5.0,6.0,4.0,5.0,4.0,5.0,Amateur Qualifier (The Oaks GC) - Matt Prellwitz Scorecard | WSGA
4.0,4.0,6.0,5.0,4.0,4.0,4.0,6.0,6.0,3.0,4.0,9.0,4.0,5.0,5.0,5.0,4.0,6.0,Amateur Qualifier (The Oaks GC) - Harry Carpenter Scorecard | WSGA
3.0,4.0,5.0,5.0,3.0,6.0,4.0,7.0,6.0,3.0,5.0,4.0,4.0,8.0,5.0,5.0,4.0,7.0,Amateur Qualifier (The Oaks GC) - Ben Gordon Scorecard | WSGA
4.0,6.0,6.0,6.0,3.0,7.0,3.0,5.0,6.0,3.0,5.0,6.0,3.0,5.0,7.0,6.0,4.0,5.0,Amateur Qualifier (The Oaks GC) - Max Murphy Scorecard | WSGA
4.0,4.0,7.0,7.0,3.0,5.0,4.0,6.0,6.0,3.0,5.0,4.0,5.0,5.0,7.0,4.0,6.0,5.0,Amateur Qualifier (The Oaks GC) - Shane Sweeney Scorecard | WSGA
5.0,5.0,5.0,6.0,3.0,5.0,4.0,5.0,5.0,3.0,8.0,5.0,4.0,7.0,6.0,5.0,4.0,5.0,Amateur Qualifier (The Oaks GC) - Kevin Kuklinski Scorecard | WSGA
5.0,5.0,7.0,5.0,3.0,5.0,4.0,6.0,5.0,3.0,6.0,4.0,4.0,4.0,8.0,6.0,4.0,7.0,Amateur Qualifier (The Oaks GC) - Harrison Ernstmeyer Scorecard | WSGA
5.0,6.0,6.0,6.0,4.0,5.0,7.0,6.0,6.0,2.0,7.0,4.0,3.0,6.0,4.0,5.0,4.0,5.0,Amateur Qualifier (The Oaks GC) - Brendan Reilly Scorecard | WSGA
8.0,4.0,5.0,5.0,3.0,5.0,4.0,6.0,8.0,3.0,5.0,6.0,4.0,5.0,4.0,5.0,5.0,7.0,Amateur Qualifier (The Oaks GC) - Andrew Westphal Scorecard | WSGA
5.0,4.0,5.0,6.0,3.0,5.0,3.0,6.0,6.0,3.0,5.0,5.0,6.0,4.0,7.0,6.0,5.0,8.0,Amateur Qualifier (The Oaks GC) - Robert Becker Scorecard | WSGA
